"workerId","batch","n_trials","n_data_conds","condition","baseline","es_threshold","start_means","award_value","starting_value","exchange","cutoff","max_bonus","total_bonus","duration","numeracy","gender","age","education","chart_use","strategy_with_means","strategy_without_means","accountValue","groundTruth","intervene","outcome","pAwardWith","pAwardWithout","pSup","payoff","respTime","sdDiff","startTime","trial","trialDur","trialIdx"
"c38fe5ff",0,34,18,"intervals",0.5,0.9,"True",3.17,107.78,0.08,150,3,1.18,484.539000034332,11,"M","25-34","Bachelor's degree","Daily","Clicked through randomly","Responded randomly except when answer was obvious",109.95,0.55,1,"True",0.57053,0.5,55,2.17,1573695769.565,15,1573695764.332,"1",5.23300004005432,"9"
"c38fe5ff",0,34,18,"intervals",0.5,0.9,"True",3.17,107.78,0.08,150,3,1.18,484.539000034332,11,"M","25-34","Bachelor's degree","Daily","Clicked through randomly","Responded randomly except when answer was obvious",113.12,0.849,0,"True",0.92787,0.5,55,3.17,1573695776.897,5,1573695772.808,"2",4.08899998664856,"6"
"c38fe5ff",0,34,18,"intervals",0.5,0.9,"True",3.17,107.78,0.08,150,3,1.18,484.539000034332,11,"M","25-34","Bachelor's degree","Daily","Clicked through randomly","Responded randomly except when answer was obvious",113.12,0.721,0,"False",0.79653,0.5,55,0,1573695784.808,15,1573695780.695,"3",4.11300015449524,"12"
"c38fe5ff",0,34,18,"intervals",0.5,0.9,"True",3.17,107.78,0.08,150,3,1.18,484.539000034332,11,"M","25-34","Bachelor's degree","Daily","Clicked through randomly","Responded randomly except when answer was obvious",113.12,0.55,0,"False",0.57053,0.5,55,0,1573695793.968,5,1573695788.176,"4",5.79199981689453,"1"
"c38fe5ff",0,34,18,"intervals",0.5,0.9,"True",3.17,107.78,0.08,150,3,1.18,484.539000034332,11,"M","25-34","Bachelor's degree","Daily","Clicked through randomly","Responded randomly except when answer was obvious",115.29,0.849,1,"True",0.92787,0.5,55,2.17,1573695802.708,15,1573695797.589,"5",5.11899995803833,"14"
"c38fe5ff",0,34,18,"intervals",0.5,0.9,"True",3.17,107.78,0.08,150,3,1.18,484.539000034332,11,"M","25-34","Bachelor's degree","Daily","Clicked through randomly","Responded randomly except when answer was obvious",115.29,0.611,0,"False",0.65464,0.5,55,0,1573695809.547,5,1573695805.896,"6",3.65100002288818,"2"
"c38fe5ff",0,34,18,"intervals",0.5,0.9,"True",3.17,107.78,0.08,150,3,1.18,484.539000034332,11,"M","25-34","Bachelor's degree","Daily","Clicked through randomly","Responded randomly except when answer was obvious",115.29,0.721,0,"False",0.79653,0.5,55,0,1573695817.192,5,1573695813.155,"7",4.03699994087219,"4"
"c38fe5ff",0,34,18,"intervals",0.5,0.9,"True",3.17,107.78,0.08,150,3,1.18,484.539000034332,11,"M","25-34","Bachelor's degree","Daily","Clicked through randomly","Responded randomly except when answer was obvious",117.46,0.912,1,"True",0.97206,0.5,99,2.17,1573695826.085,15,1573695819.971,"8",6.11400008201599,"15"
"c38fe5ff",0,34,18,"intervals",0.5,0.9,"True",3.17,107.78,0.08,150,3,1.18,484.539000034332,11,"M","25-34","Bachelor's degree","Daily","Clicked through randomly","Responded randomly except when answer was obvious",120.63,0.5,0,"True",0.5,0.5,50,3.17,1573695832.765,5,1573695828.627,"9",4.13800001144409,"0"
"c38fe5ff",0,34,18,"intervals",0.5,0.9,"True",3.17,107.78,0.08,150,3,1.18,484.539000034332,11,"M","25-34","Bachelor's degree","Daily","Clicked through randomly","Responded randomly except when answer was obvious",122.8,0.95,1,"True",0.99,0.5,55,2.17,1573695840.33,15,1573695835.457,"10",4.87299990653992,"16"
